Gene to number of 16s copies	STAS	SWHAS104
AAM63403	0	0
AAM77886	0	0
AAM89276	0	0
AAM93063	0	0
AAM93473	0	0
AAM97249	0	0
AAN28721	0	0
AAN34370	0	0
AAN41408	0	0
AAN41433	0	0
AAN41440	0	0
AAN41648	0	0
AAN60573	0	0
AAN61107	0	0
AAN73274	0	0
AAN80811	0	0
AAO24820	0	0
AAO38251	0	0
AAO38916	0	0
AAO42740	0	0
AAO84013	0	0
AAP43530	0	0
AAP46576	0	0
AAP46577	0	0
AAP46578	0	0
AAP46581	0	0
AAP46583	0	0
AAP46584	0	0
AAP46585	0	0
AAP46588	0	0
AAP46590	0	0
AAP46591	0	0
AAP46594	0	0
AAP46595	0	0
AAP46597	0	0
AAP46598	0	0
AAP46600	0	0
AAP46601	0	0
AAP46602	0	0
AAP46604	0	0
AAP46605	0	0
AAP46606	0	0
AAP46607	0	0
AAP46608	0	0
AAP46609	0	0
AAP46610	0	0
AAP46611	0	0
AAP46613	0	0
AAP46614	0	0
AAP46617	0	0
AAP46619	0	0
AAP46620	0	0
AAP46621	0	0
AAP46622	0	0
AAP46624	0	0
AAP46632	0	0
AAP46635	0	0
AAP69912	0	0
AAP69913	0	0
AAP69914	0	0
AAP69915	0	0
AAP70377	0	0
AAP83161	0	0
AAP92507	0	0
AAP97129	0	0
AAP97131	0	0
AAP97133	0	0
AAQ10697	0	0
AAQ12895	0	0
AAQ12900	0	0
AAQ16270	0	0
AAQ16271	0	0
AAQ21216	0	0
AAQ62546	0	0
AAQ75378	0	0
AAQ90024	0	0
AAQ92181	0	0.00847229795225978
AAR04097	0	0
AAR04099	0	0
AAR05437	0	0
AAR05762	0	0
AAR14158	0	0
AAR20596	0	0
AAR29485	0	0
AAR29970	0	0
AAR29971	0	0.00694754949449785
AAR37056	0	0
AAR37057	0	0
AAR37059	0	0
AAR37060	0	0
AAR37061	0	0
AAR96043	0	0
AAS16362	0	0
AAS16363	0	0
AAS20534	0	0
AAS45561	0	0
AAS49820	0	0
AAS50177	0	0
AAS61063	0	0
AAS61092	0	0
AAS87172	0	0
AAS89471	0	0
AAS92348	0	0
AAT02170	0	0
AAT34976	0	0
AAT35601	0	0
AAT45018	0	0
AAT45022	0	0
AAT45026	0	0
AAT45231	0	0
AAT49071	0	0
AAT60435	0	0
AAT70791	0	0
AAT90846	0	0
AAT90847	0	0
AAT97115	0	0
AAU01314	0	0
AAU89126	0	0
AAV37206	0	0
AAV58812	0	0
AAV58814	0	0
AAV58816	0	0
AAV58817	0	0
AAV74562	0	0
AAV74563	0	0
AAV74568	0	0
AAV74569	0	0
AAV74570	0	0
AAV80410	0	0.00681948406602784
AAV80411	0	0
AAW21254	0	0
AAW30456	0	0
AAW34142	0	0
AAW82909	0	0
AAX14397	0	0
AAX18273	0	0
AAX19282	0	0
AAX19283	0	0
AAX19284	0	0
AAX19285	0	0
AAX33294	0	0
AAX35723	0	0
AAX54909	0	0
AAX55643	0	0
AAX84025	0	0
AAY21388	0	0
AAY27811	0	0
AAY43141	0	0
AAY43143	0	0
AAY43207	0	0
AAY52002	0	0
AAY52003	0	0
AAY52004	0	0
AAY52005	0	0
AAY52006	0	0
AAY52007	0	0
AAY54279	0	0
AAY62597	0	0
AAY63943	0	0
AAY67968	0	0
AAY67970	0	0
AAY67972	0	0
AAY68306	0	0
AAY90134	0	0
AAY93315	0	0.0227665852665853
AAZ03413	0	0
AAZ14842	0	0
AAZ32816	0	0
AAZ79402	0	0
AAZ79478	0	0
AAZ85968	0	0
AAZ91706	0	0
AAZ93366	0	0
AAZ98835	0	0
AAZ98836	0	0
AAZ98839	0	0
AAZ98840	0	0
AB008454.1.gene1.p01	0	0
AB010417.1.gene1.p01	0	0
AB023477.1.gene1.p01	0	0
AB028210.1.gene2.p01	0	0
AB040994.1.gene1.p1	0	0
AB049569.1.gene1.p01	0	0
AB061794.1.gene2.p01	0	0
AB061794.1.gene7.p01	0	0
AB074433.1.gene1.p01	0	0
AB074436.1.gene1.p01	0	0
AB080798.1.gene5.p01	0	0
AB082569.2.gene1.p01	0	0
AB083212.gene.p01	0	0
AB084246.gene.p01	0	0
AB0890	0	0
AB104852.1.gene2.p01	0	0
AB104852.1.gene3.p01	0	0
AB104852.1.gene4.p01	0	0
AB104852.1.gene6.p01	0	0
AB107899.1.gene2.p01	0	0
AB114632.1.gene2.p01	0	0
AB116646.1.gene1.p01	0	0
AB119105.1.gene1.p01	0	0
AB158573.gene.p01	0	0
AB164230.1.gene1.p01	0	0
AB176534.1.gene1.p01	0	0
AB177384.1.gene1.p01	0	0
AB194410.1.gene1.p01	0	0
AB196988.1.gene1.p01	0	0
AB204557.1.gene1.p01	0	0
AB205197.1.gene1.p01	0	0
AB261016.1.gene1.p01	0	0
AB280919.1.gene1.p01	0	0
AB284167.2.gene1.p01	0	0
AB300358.1.gene1.p01	0	0
AB302939.1.gene1.p01	0	0
AB364006.1.gene1.p01	0	0
AB372224.1.gene1.p01	0	0
AB429270.1.gene1.p01	0	0
AB462903.1.gene2.p01	0	0
AB529520.1.gene1.p01	0	0
AB551737.1.gene1.p01	0	0
AB563173.1.gene1.p01	0	0
AB587082.1.gene1.p01	0	0
AB634250.1.gene1.p01	0	0
AB636283.1.gene1.p01	0	0
AB699171.1.gene1.p01	0	0
AB700703.1.gene1.p01	0	0
AB703103.1.gene1.p01	0	0
AB715422.1.gene3.p01	0	0
AB715422.1.gene4.p01	0	0
AB733453.1.gene1.p01	0	0
AB737978.1.gene1.p01	0	0
AB744718.1.gene1.p01	0	0
AB753456.1.gene1.p01	0	0
AB753457.1.gene1.p01	0	0
AB753458.1.gene1.p01	0	0
AB777500.1.gene4.p01	0	0
AB777500.1.gene5.p01	0	0
AB777501.1.gene2.p01	0	0
AB781687.1.gene1.p01	0	0
AB900900.1.gene1.p01	0	0
ABA02367	0	0
ABA08387	0	0
ABA54978	0	0
ABA71359	0	0
ABB18304	0	0
ABB43029	0	0
ABB53349	0	0
ABB70047	0	0
ABB70049	0	0
ABB70053	0	0
ABB70054	0.012492692058674	0
ABB70056	0	0
ABB71176	0	0
ABB72057	0	0
ABB76658	0	0
ABB77558	0	0
ABB80128	0	0
ABB80130	0	0
ABB82608	0	0
ABB89122	0	0
ABB99435	0	0
ABC17628	0	0
ABC17629	0	0
ABC18245	0	0
ABC18328	0	0
ABC33904	0	0
ABC36050	0	0
ABC38311	0	0
ABC38359	0	0
ABC54722	0	0
ABC60093	0	0
ABC60094	0	0
ABC69169	0	0
ABD04054	0	0
ABD46539	0	0
ABD46710	0	0
ABD85195	0	0
ABE02098	0	0
ABE98197	0.109855461818706	0
ABF20240	0	0
ABF67771	0	0
ABF69686	0	0
ABG21123	0	0
ABG26481	0	0
ABG36698	0	0
ABG36700	0	0
ABG36701	0	0
ABG46350	0	0
ABG56269	0	0
ABG69871	0	0
ABG71110	0	0
ABG71850	0	0
ABG77519	0	0
ABG77965	0	0
ABG77966	0	0
ABG81258	0	0
ABH08225	0	0
ABI18324	0	0
ABI20753	0	0
ABI50489	0	0
ABI81214	0	0
ABJ15828	0	0
ABJ55333	0	0
ABJ74149	0	0
ABK51578	0	0
ABK63186	0	0
ABK86187	0	0
ABK86352	0	0
ABL62887	0	0
ABM73648	0	0
ABM94007	0	0
ABN11268	0	0
ABN48512	0	0
ABN79417	0	0
ABN80187	0	0
ABO12177	0	0
ABO42050	0	0
ABO43851	0	0
ABO60984	0	0
ABO60985	0	0
ABO60988	0	0
ABO60989	0	0
ABO60991	0	0
ABO60993	0	0
ABO60996	0	0
ABO60998	0	0
ABO61000	0	0
ABO93588	0	0
ABP04245	0	0
ABP35557	0	0
ABP49606	0	0
ABP68837	0	0
ABP89888	0	0
ABQ10556	0	0
ABQ23577	0	0
ABQ41442	0	0
ABQ42698	0	0
ABQ96616	0	0
ABQ96629	0	0
ABQ96639	0	0
ABR13270	0	0
ABR13271	0	0
ABS19068	0	0
ABS58643	0	0
ABS72055	0	0
ABS72056	0	0
ABS72058	0	0
ABS72059	0	0
ABS73653	0	0
ABS73654	0	0
ABU86807	0	0
ABU97164	0	0
ABV60283	0	0
ABV60286	0	0
ABV66095	0	0
ABV82118	0	0
ABV82120	0	0
ABW03156	0	0
ABW03157	0	0
ABW06431	0	0
ABW24731	0	0
ABW39616	0	0
ABW72062	0	0
ABW78937	0	0
ABW87257	0	0
ABX00596	0	0
ABX00620	0	0
ABX28186	0	0
ABX72042	0	0
ABX75558	0	0
ABX79411	0	0.0192185460042603
ABX79417	0	0
ABX79421	0	0
ABY43546	0	0
ABY44328	0	0
ABY55282	0	0
ABY55284	0	0
ABY55286	0	0
ABY58049	0	0
ABY66120	0	0
ABY77969	0	0
ABY79006	0	0
ABY91240	0	0
ABZ80060	0	0
ABZ81086	0	0
ACA09611	0	0
ACA23187	0	0
ACA23192	0	0
ACA23195	0	0
ACA34343	0	0
ACA34904	0	0
ACA35067	0	0
ACA42497	0	0
ACA48663	0	0
ACA48664	0	0
ACB16010	0	0
ACB17069	0	0
ACB17398	0	0
ACB17400	0	0
ACB17556	0	0
ACB17731	0	0
ACB17801	0	0
ACB17952	0	0
ACB18310	0	0
ACB18769	0	0
ACB19549	0	0
ACC64523	0	0
ACC85616	0	0
ACC93634	0	0
ACC95128	0	0
ACC95408	0	0
ACC96132	0	0
ACD01409	0	0.0207452529298324
ACD03314	0	0
ACD76089	0	0
ACD88490	0	0
ACE78320	0	0
ACE95087	0	0
ACF08831	0	0
ACF30471	0	0
ACG58975	0	0
ACH85847	0	0
ACH85850	0	0
ACH85966	0	0
ACI02010	0	0
ACI02017	0	0
ACI02041	0	0.00694754949449785
ACI02892	0	0
ACI02941	0	0
ACI02996	0	0
ACI32877	0	0
ACI71754	0	0
ACI75321	0	0
ACI76101	0	0
ACI87546	0	0
ACJ22953	0	0
ACJ24509	0	0
ACJ61335	0	0
ACJ64205	0	0
ACJ76644	0	0
ACK77685	0	0
ACL27011	0	0
ACL81266	0	0
ACM47283	0	0
ACM47285	0	0
ACM47287	0	0
ACM47288	0	0
ACN65403	0	0
ACN65732	0	0
ACO24447	0	0
ACP19236	0	0
ACP19238	0	0
ACP19239	0	0
ACP31588	0	0
ACQ53948	0	0
ACQ66104	0	0
ACQ66105	0	0
ACR56331	0	0
ACR66837	0	0
ACR66838	0	0
AE000516.2.gene277.p01	0	0
AE000516.2.gene3301.p01	0	0
AE015929.1.gene1105.p01	0	0
AE015929.1.gene1106.p01	0	0
AE016830.1.gene1357.p01	0	0
AE016830.1.gene1786.p01	0	0
AE016830.1.gene424.p01	0	0
AE016830.1.gene768.p01	0	0
AF001493.1.orf0.gene.p01	0	0
AF002716.gene.p01	0	0
AF010416.1.gene1.p01	0	0
AF015087.1.gene1.p01	0	0
AF015628.1.gene1.p01	0	0
AF015628.1.gene2.p01	0	0
AF016483.gene.p01	0	0
AF024602.1.gene3.p01	0	0
AF024602.1.gene5.p01	0	0
AF024602.1.gene6.p01	0	0
AF024666.2.gene33.p01	0	0
AF024666.2.gene42.p01	0	0
AF024666.2.gene6.p01	0	0
AF024666.2.gene7.p01	0	0
AF030344.gene.p01	0	0
AF030945.1.gene1.p01	0	0
AF031326.1.gene1.p1	0	0
AF031327.1.gene1.p1	0	0
AF031328.1.gene1.p1	0	0
AF031329.1.gene1.p1	0	0
AF031330.1.gene1.p1	0	0
AF031331.1.gene1.p1	0	0
AF031332.1.gene1.p1	0	0
AF034958.gene.p01	0	0
AF036933.1.gene1.p01	0	0
AF038993.gene.p01	0	0
AF043381.1.gene2.p01	0	0
AF043381.1.gene3.p01	0	0
AF047171.1.gene1.p01	0	0
AF047479.2.gene10.p01	0	0.0168801677832096
AF047479.2.gene11.p01	0	0
AF047556.1.gene1.p01	0	0
AF064820.3.gene2.p01	0	0
AF070999.gene.p01	0	0
AF071555.1.gene10.p01	0	0
AF071555.1.gene6.p01	0	0
AF072684.2.gene1.p2	0	0
AF078527.gene.p01	0	0
AF079138.1.orf0.gene.p01	0	0
AF090141.1.gene1.p1	0	0
AF090987.gene.p01	0	0
AF091113.2.gene1.p01	0	0
AF093512.1.gene1.p01	0	0
AF099139.1.gene1.p01	0	0
AF101781.1.gene1.p01	0	0
AF104441.1.gene1.p01	0	0
AF104442.1.gene1.p01	0	0
AF110130.1.orf0.gene.p01	0	0
AF118107.1.gene2.p01	0	0
AF118110.1.gene1.p01	0	0
AF121000.gene.p01	0	0
AF132290.1.gene1.p01	0	0
AF133139.gene.p01	0	0.0113541793529006
AF133140.gene.p01	0	0
AF135373.1.gene1.p01	0	0
AF139725.gene.p01	0	0
AF140221.1.gene1.p1	0	0
AF143804.1.gene1.p1	0	0
AF144880.1.gene1.p01	0	0
AF148850.1.gene1.p01	0	0
AF148851.1.gene1.p01	0	0
AF155139.2.gene2.p01	0	0
AF155139.2.gene3.p01	0	0
AF155139.2.gene4.p01	0	0
AF155139.2.gene5.p01	0	0
AF155139.2.gene6.p01	0	0
AF155139.2.gene7.p01	0	0
AF155139.2.gene8.p01	0	0
AF156486.gene.p01	0	0
AF157553.1.gene1.p1	0	0
AF162694.1.gene2.p01	0	0
AF162694.1.gene3.p01	0	0
AF162694.1.gene4.p01	0	0
AF162694.1.gene5.p01	0	0.0192185460042603
AF162694.1.gene6.p01	0	0
AF162771.1.gene2.p01	0	0
AF164577.1.gene1.p01	0	0
AF167990.3.gene1.p01	0	0
AF170880.4.gene1.p01	0	0.00721867337720996
AF174129.3.gene7.p01	0	0
AF174129.3.gene9.p01	0	0
AF180952.1.gene3.p01	0	0.0113832926332926
AF180958.1.gene1.p01	0	0
AF188199.1.gene1.p01	0	0
AF189721.1.gene1.p01	0	0
AF190692.1.gene1.p01	0	0
AF190693.1.gene1.p01	0	0
AF190694.1.gene1.p01	0	0
AF190695.1.gene1.p01	0	0
AF191564.1.gene2.p01	0	0
AF191564.1.gene5.p01	0	0
AF201826.1.gene1.p01	0	0
AF201827.1.gene1.p01	0	0
AF201828.gene.p01	0	0
AF203816.1.gene1.p01	0	0
AF205943.1.gene12.p01	0	0
AF205943.1.gene13.p01	0	0
AF205943.1.gene15.p01	0	0
AF205943.1.gene7.p01	0	0
AF207840.gene.p01	0	0
AF208529.2.gene1.p2	0	0
AF208796.2.gene1.p01	0	0
AF219127.1.gene1.p1	0	0
AF219130.1.gene1.p1	0	0
AF219131.2.gene1.p2	0	0
AF219135.2.gene1.p2	0	0
AF226276.1.gene3.p01	0	0
AF226622.1.gene1.p01	0	0
AF227204.1.gene1.p01	0	0
AF227521.gene.p01	0	0
AF231133.1.gene2.p01	0	0
AF231133.1.gene3.p01	0	0
AF231986.2.gene2.p01	0	0
AF242872.1.gene2.p01	0	0
AF244145.1.gene1.p01	0	0
AF250872.1.gene1.p1	0	0
AF252623.2.gene1.p01	0	0
AF252855.1.gene1.p01	0	0
AF255298.1.gene1.p1	0	0
AF259520.1.gene4.p01	0	0
AF261825.2.gene36.p01	0	0
AF261825.2.gene41.p01	0	0
AF263519.1.gene2.p01	0	0
AF263519.1.gene4.p01	0	0
AF275256.gene.p01	0	0
AF277571.gene.p01	0	0
AF290912.1.gene1.p01	0	0
AF293345.1.gene1.p01	0	0
AF294653.1.gene2.p01	0	0
AF300454.1.gene1.p01	0	0
AF300985.1.gene1.p01	0	0
AF301532.1.gene1.p01	0	0
AF305837.gene.p01	0	0
AF310956.2.gene5.p01	0	0
AF310956.2.gene7.p01	0	0
AF313471.1.gene2.p01	0	0
AF313472.2.gene15.p01	0	0
AF313472.2.gene8.p01	0	0
AF315351.1.gene2.p01	0	0
AF317511.1.gene2.p01	0	0
AF317511.1.gene5.p01	0	0
AF318077.1.gene1.p01	0	0
AF318077.1.gene2.p01	0	0
AF319779.2.orf0.gene.p01	0	0
AF322577.2.gene2.p01	0	0
AF324833.1.gene1.p01	0	0
AF325134.1.gene1.p1	0	0
AF326355.1.gene1.p01	0	0
AF326777.3.gene18.p01	0	0
AF326777.3.gene20.p01	0	0
AF326777.3.gene21.p01	0	0
AF326777.3.gene22.p01	0	0
AF329699.1.gene1.p01	0	0
AF332513.1.gene1.p01	0	0
AF332662.1.gene1.p01	0	0
AF336095.1.gene1.p01	0	0
AF336096.1.gene1.p01	0	0
AF336097.1.gene1.p01	0	0
AF336098.1.gene1.p01	0	0
AF337947.1.gene1.p01	0	0
AF337947.1.gene2.p01	0	0
AF347054.1.gene1.p1	0	0
AF350424.1.gene1.p01	0	0
AF351241.1.gene1.p01	0	0
AF353562.gene.p01	0	0
AF355189.1.gene2.p01	0	0
AF357597.1.gene1.p01	0	0
AF357599.1.gene1.p01	0	0
AF367983.gene.p01	0	0
AF368302.1.gene3.p01	0	0
AF371964.1.gene1.p1	0	0
AF395881.gene.p01	0	0
AF409092.1.gene1.p01	0	0
AF416700.1.gene1.p01	0	0
AF418284.1.gene3.p01	0	0
AF427127.1.gene1.p01	0	0
AF427128.1.gene1.p01	0	0
AF427129.1.gene1.p01	0	0
AF427130.1.gene1.p01	0	0
AF441286.1.gene1.p01	0	0
AF441287.1.gene1.p01	0	0
AF445082.1.gene5.p01	0	0
AF452105.1.gene1.p1	0	0
AF453998.2.gene4.p01	0	0
AF458080.1.gene3.p01	0	0
AF462019.1.gene1.p01	0	0
AF462611.1.orf0.gene.p01	0	0
AF467947.1.gene1.p1	0	0
AF467948.1.gene1.p1	0	0
AF468003.1.gene1.p1	0	0
AF472622.2.gene1.p01	0	0
AF479774.1.gene5.p01	0	0
AF479774.1.gene7.p01	0	0
AF488377.1.gene1.p1	0	0
AF491278.1.gene1.p01	0	0
AF495873.1.gene1.p1	0	0
AF506748.1.gene1.p1	0	0
AF509241.1.gene1.p01	0	0
AF516719.1.gene1.p1	0	0
AF516720.1.gene1.p1	0	0
AF518567.2.gene4.p01	0	0
AF525303.2.gene5.p01	0	0
AF534183.gene.p01	0	0
AF535127.1.gene1.p01	0	0
AF535128.1.gene1.p01	0	0
AF535129.1.gene1.p01	0	0
AF535130.1.gene1.p01	0	0
AF547625.1.gene1.p1	0	0
AJ005044.1.gene1.p01	0	0
AJ005045.gene.p01	0	0
AJ009818.1.gene3.p01	0	0
AJ011291.1.gene1.p01	0	0
AJ011293.1.gene1.p01	0	0
AJ011428.2.gene1.p01	0	0
AJ133121.1.gene1.p01	0	0
AJ222769.gene.p01	0	0
AJ223604.1.gene5.p01	0	0
AJ223970.1.gene1.p01	0	0
AJ223970.1.gene2.p01	0	0
AJ239002.1.gene1.p01	0	0
AJ243491.gene.p01	0	0
AJ249217.gene.p01	0	0
AJ249249.1.gene5.p01	0	0
AJ250203.gene.p01	0	0
AJ250876.1.gene1.p01	0	0.0140490004018485
AJ251806.1.gene1.p01	0	0
AJ272109.1.gene1.p01	0	0
AJ276453.1.gene4.p01	0	0
AJ277414.1.gene1.p01	0	0
AJ277415.1.gene1.p01	0	0
AJ277535.1.gene1.p01	0	0
AJ295238.gene.p01	0	0
AJ295340.1.gene1.p01	0	0
AJ295341.1.gene1.p01	0	0
AJ295342.1.gene1.p01	0	0
AJ295343.1.gene1.p01	0	0
AJ295344.1.gene1.p01	0	0
AJ295345.1.gene1.p01	0	0
AJ308331.1.gene1.p01	0	0
AJ308558.1.gene1.p01	0	0
AJ309734.2.gene1.p01	0	0
AJ310778.1.gene12.p01	0	0
AJ312056.2.gene1.p01	0	0
AJ313523.1.orf0.gene.p01	0	0
AJ318093.1.gene1.p01	0	0
AJ318094.1.gene1.p01	0	0
AJ400619.1.gene1.p01	0	0
AJ401618.1.gene2.p01	0	0
AJ416344.1.gene1.p01	0	0
AJ420072.gene.p01	0	0
AJ420864.1.gene1.p01	0	0
AJ437107.1.gene1.p01	0	0
AJ459418.gene.p01	0	0
AJ487033.2.gene3.p01	0	0
AJ488302.1.gene1.p01	0	0
AJ488303.1.gene1.p01	0	0
AJ489618.1.orf2.gene.p01	0	0
AJ511268.1.gene3.p01	0	0
AJ514254.gene.p01	0	0
AJ518835.1.gene6.p01	0	0
AJ536835.1.gene1.p01	0	0
AJ549214.1.gene2.p01	0	0
AJ549244.1.gene1.p01	0	0
AJ550807.1.gene4.p01	0	0
AJ555823.2.gene1.p01	0	0
AJ555825.2.gene1.p01	0	0
AJ557142.gene.p01	0	0
AJ567481.1.gene1.p01	0	0
AJ567827.1.gene1.p01	0	0
AJ579365.gene.p01	0	0
AJ584652.2.gene10.p01	0	0
AJ584652.2.gene3.p01	0	0
AJ584652.2.gene5.p01	0	0
AJ584700.2.gene1.p01	0	0
AJ584701.2.gene1.p01	0	0
AJ631966.1.gene1.p01	0	0
AJ632249.1.gene1.p01	0	0
AJ634602.gene.p01	0	0
AJ635401.2.gene1.p01	0	0
AJ635402.2.gene1.p01	0	0
AJ635404.2.gene1.p01	0	0
AJ703795.1.gene1.p01	0	0
AJ704396.1.gene1.p01	0	0
AJ704863.gene21.p01	0	0
AJ746225.1.gene1.p01	0	0
AJ781421.1.gene1.p01	0	0
AJ809407.1.gene1.p01	0	0
AJ854182.1.gene1.p01	0	0
AJ863560.2.gene1.p01	0	0
AJ866284.2.gene1.p01	0	0
AJ866285.2.gene1.p01	0	0
AJ866988.1.gene1.p01	0	0
AJ871864.1.gene1.p01	0	0
AJ871866.1.gene1.p01	0	0
AJ871867.1.gene1.p01	0	0
AJ871868.1.gene1.p01	0	0
AJ871871.1.gene1.p01	0	0
AJ871873.1.gene1.p01	0	0
AJ871875.1.gene1.p01	0	0
AJ871876.1.gene1.p01	0	0
AJ871877.1.gene1.p01	0	0
AJ884726.1.gene1.p01	0	0
AJ920369.1.gene1.p01	0	0
AL939114.1.orf1.gene.p01	0.0293486405348995	0
AM049399.1.gene1.p01	0	0
AM051140.1.gene1.p01	0	0
AM051142.1.gene1.p01	0	0
AM051143.1.gene1.p01	0	0
AM051144.1.gene1.p01	0	0
AM051145.1.gene1.p01	0	0
AM051147.1.gene1.p01	0	0
AM051148.1.gene1.p01	0	0
AM051149.1.gene1.p01	0	0
AM051151.1.gene1.p01	0	0
AM051152.1.gene1.p01	0	0
AM051153.1.gene1.p01	0	0
AM051156.1.gene1.p01	0	0
AM051157.1.gene1.p01	0	0
AM051159.1.gene1.p01	0	0
AM051160.1.gene1.p01	0	0
AM051161.1.gene1.p01	0	0
AM076977.1.gene1.p01	0	0
AM087405.1.gene3.p01	0	0
AM087411.1.gene1.p01	0	0
AM087411.1.gene3.p01	0	0
AM087453.1.gene1.p01	0	0
AM087454.1.gene1.p01	0	0
AM087455.2.gene1.p01	0	0
AM176546.2.gene1.p01	0	0
AM176547.2.gene1.p01	0	0
AM176548.2.gene1.p01	0	0
AM176549.2.gene1.p01	0	0
AM176550.2.gene1.p01	0	0
AM176551.2.gene1.p01	0	0
AM176552.2.gene1.p01	0	0
AM176553.2.gene1.p01	0	0
AM176554.2.gene1.p01	0	0
AM176555.2.gene1.p01	0	0
AM176556.2.gene1.p01	0	0
AM176557.2.gene1.p01	0	0
AM176558.2.gene1.p01	0	0
AM180355.1.gene2260.p01	0	0
AM180355.1.gene636.p01	0	0
AM183304.1.gene1.p01	0	0
AM231719.1.gene1.p01	0	0
AM261837.1.gene1.p01	0	0
AM279652.1.gene1.p01	0	0
AM283489.1.gene3.p01	0	0
AM283490.1.gene4.p01	0	0
AM286274.1.gene1.p01	0	0
AM296480.1.gene1.p01	0	0
AM296481.1.gene2.p01	0	0
AM410044.gene9.p01	0	0
AM411407.1.gene1.p01	0	0
AM412777.1.gene1.p01	0	0
AM778091.1.gene1.p01	0	0
AM849805.1.gene1.p01	0	0
AM850908.2.gene1.p01	0	0
AM850909.2.gene1.p01	0	0
AM850910.2.gene1.p01	0	0
